productType,price,sqft,rooms,bathrooms,location,pricePerSqft,latitude,longitude
Apartment,1025000,1131,2,3,Dubai Science Park,906.2776304155615,25.069361,55.245382
Apartment,810000,774,1,2,Al Furjan,1046.5116279069769,25.031487279461,55.139057995132
Apartment,3600000,758,1,1,Dubai Harbour,4749.34036939314,25.101397121282,55.142588420555
Apartment,3350000,1427,2,3,Dubai Marina,2347.582340574632,25.07508,55.137889
Apartment,2450000,1171,2,2,Downtown Dubai,2092.2288642186168,25.196713,55.271
Apartment,600000,425,0,1,Jumeirah Village Circle (JVC),1411.764705882353,25.050803683826,55.205220721407
Apartment,3800000,4651,4,5,Dubai Marina,817.02859600086,25.068307,55.12925
Apartment,6895000,1562,3,2,Downtown Dubai,4414.2125480153645,25.197339795372,55.271839679399
Apartment,1100000,761,1,2,Dubai Marina,1445.4664914586072,25.08869934082,55.14820098877
Apartment,600000,299,0,1,Meydan City,2006.6889632107022,25.173195188265,55.29889006735
Apartment,2250000,1092,1,2,Downtown Dubai,2060.4395604395604,25.191461695441,55.274436735343
Apartment,2880000,1508,3,3,Dubai Creek Harbour,1909.814323607427,25.202545605133,55.349421641103
House,3250000,2697,2,2,Jumeirah Village Triangle (JVT),1205.0426399703374,25.047146,55.185249
Apartment,750000,416,0,1,Meydan City,1802.8846153846155,25.173195188265,55.29889006735
Apartment,9500000,2141,3,4,Dubai Harbour,4437.178888369921,25.09841,55.139725
Apartment,385000,561,0,1,Jumeirah Village Circle (JVC),686.2745098039215,25.061385674141,55.208021904402
House,12000000,7950,6,7,Jumeirah Park,1509.433962264151,25.044372,55.165229
House,5100000,6175,4,5,Al Furjan,825.9109311740891,25.028252326814,55.138616737417
Apartment,899900,796,1,2,Motor City,1130.5276381909548,25.045977266302,55.237168853875
Apartment,2550000,1146,2,2,Downtown Dubai,2225.130890052356,25.18881319862,55.280351949836
Residence,3400000,2147,4,5,Dubai Sports City,1583.605030274802,25.038845966857,55.206215784633
Apartment,2800000,1435,2,3,Business Bay,1951.219512195122,25.186663,55.273898
House,3000000,2723,3,4,DAMAC Hills,1101.7260374586854,25.021793604521,55.262362022127
House,4500000,2600,3,3,The Springs,1730.7692307692307,25.051038895544,55.174361264888
Residence,1900000,1900,2,3,Dubai South,1000.0,24.952317334989,55.227060391253
Apartment,1950000,1269,2,2,The Views,1536.6430260047282,25.09239078171,55.168108195067
Apartment,2500000,1308,2,2,Dubai Creek Harbour,1911.31498470948,25.202895412323,55.350042595148
Apartment,2300000,2327,3,3,Dubai Marina,988.3970777825526,25.067693976612,55.13152283675
Apartment,3800000,1894,3,4,Jumeirah Beach Residence (JBR),2006.335797254488,25.077412,55.134255
Apartment,1650000,907,2,2,Business Bay,1819.1841234840133,25.186702,55.282607
Apartment,1199000,658,0,1,Business Bay,1822.1884498480242,25.186663,55.273898
Apartment,3500000,1206,2,2,Dubai Marina,2902.155887230514,25.086438,55.147157
Apartment,1490000,936,1,2,Downtown Dubai,1591.8803418803418,25.191167,55.269865
House,2424999,2554,3,3,Reem,949.4906029757243,25.007856985047,55.308687077995
