productType,price,sqft,rooms,bathrooms,location,pricePerSqft
Apartment,500000,389,0,1,DAMAC Hills,1285.3470437017995
Apartment,500000,520,0,1,Arjan,961.5384615384615
House,3250000,2258,3,3,The Springs,1439.3268379096546
House,7000000,3501,5,5,Dubai Sports City,1999.4287346472436
Apartment,3400000,1311,2,3,Dubai Creek Harbour,2593.440122044241
Apartment,2750000,1586,2,4,Palm Jumeirah,1733.921815889029
Residence,3700000,2288,3,3,Dubai Hills Estate,1617.1328671328672
House,5850000,4052,5,5,The Villa,1443.731490621915
House,1280000,2296,3,3,DAMAC Hills 2 (Akoya by DAMAC),557.4912891986063
Apartment,3900000,2835,3,4,DAMAC Hills,1375.6613756613756
Apartment,2500000,1139,2,2,Dubai Creek Harbour,2194.9078138718173
House,10499999,7510,5,7,Meydan City,1398.1356857523301
House,9975000,9000,6,6,Green Community,1108.3333333333333
House,3500000,3745,3,3,DAMAC Hills,934.5794392523364
House,12500000,14776,7,7,Arabian Ranches,845.9664320519762
Apartment,1980000,1115,2,2,Dubai Creek Harbour,1775.7847533632287
House,2650000,1707,3,6,Jumeirah Village Circle (JVC),1552.431165787932
Apartment,2600000,1206,2,3,Dubai Hills Estate,2155.8872305140962
Apartment,8750000,2041,3,4,Downtown Dubai,4287.114159725625
Apartment,2100000,1376,2,3,Jumeirah Golf Estates,1526.1627906976744
Apartment,2650000,988,2,2,Dubai Hills Estate,2682.186234817814
Apartment,2450000,1326,2,3,Dubai Marina,1847.6621417797887
Apartment,550000,393,0,1,Jumeirah Village Circle (JVC),1399.4910941475828
Apartment,1000000,1354,3,3,Dubai Studio City,738.5524372230428
House,5175000,4775,4,5,The Villa,1083.7696335078533
House,3300000,1647,2,2,The Springs,2003.6429872495446
Apartment,1650000,864,1,2,Downtown Dubai,1909.7222222222222
Residence,2499999,2300,4,4,Dubailand,1086.9560869565216
Residence,3750000,2228,3,4,Dubai Hills Estate,1683.1238779174148
Apartment,630000,653,0,1,Barsha Heights (Tecom),964.7779479326186
Apartment,970000,471,1,1,Business Bay,2059.447983014862
House,4595000,4347,4,4,Green Community,1057.0508396595353
Apartment,1685000,1613,2,2,Jumeirah Lake Towers (JLT),1044.6373217606942
Apartment,599999,425,0,1,Jumeirah Village Circle (JVC),1411.7623529411765
House,7500000,3805,5,4,The Meadows,1971.090670170828
Apartment,14500000,6552,4,6,Culture Village,2213.064713064713
Apartment,3800000,1218,2,3,Jumeirah,3119.8686371100166
Apartment,750000,638,1,2,Jumeirah Village Circle (JVC),1175.5485893416928
Apartment,1850000,717,1,2,Palm Jumeirah,2580.1952580195257
Apartment,1874950,1262,2,2,Jumeirah Beach Residence (JBR),1485.6973058637084
Apartment,3000000,1610,3,3,Dubai Hills Estate,1863.3540372670807
House,9900000,4909,5,4,Arabian Ranches,2016.7040130372784
Apartment,2500000,1115,2,2,Business Bay,2242.152466367713
Apartment,3200000,1960,3,3,Dubai Marina,1632.6530612244899
House,8200000,3970,5,4,The Meadows,2065.491183879093
Apartment,850000,881,2,2,Town Square,964.8127128263337
House,5500000,3725,5,6,DAMAC Hills,1476.510067114094
House,5000000,2637,3,4,The Springs,1896.0940462646947
Apartment,2400000,790,1,2,Jumeirah,3037.974683544304
House,7500000,4099,4,3,The Meadows,1829.7145645279336
Apartment,3400000,2200,3,4,Palm Jumeirah,1545.4545454545455
Residence,3100000,2647,4,5,Arabian Ranches 3,1171.1371363808084
Apartment,2350000,888,1,2,Bur Dubai,2646.3963963963965
Residence,2100000,2190,3,3,Town Square,958.9041095890411
Residence,4750000,2618,3,4,The Lakes,1814.3621084797555
House,2300000,1938,3,4,Arabian Ranches 3,1186.7905056759546
House,16950000,4742,4,7,The Lakes,3574.441164065795
Apartment,2850000,1145,1,2,Palm Jumeirah,2489.0829694323143
Apartment,7300000,1646,2,3,Downtown Dubai,4434.993924665857
Apartment,2990000,1525,2,2,Dubai Marina,1960.655737704918
Apartment,2400000,790,1,2,Jumeirah,3037.974683544304
Apartment,1900000,906,1,2,Downtown Dubai,2097.130242825607
Apartment,4500000,1728,2,3,Palm Jumeirah,2604.1666666666665
Apartment,1500000,649,1,1,Dubai Hills Estate,2311.248073959938
Apartment,1290000,2119,2,3,Dubai Sports City,608.7777253421425
Apartment,1950000,888,1,2,Bur Dubai,2195.945945945946
House,3500000,2690,2,2,Jumeirah Village Triangle (JVT),1301.1152416356877
House,2550000,4300,4,6,Jumeirah Village Circle (JVC),593.0232558139535
House,5600000,2931,3,2,Dubai Hills Estate,1910.6107130672126
Apartment,1249999,1553,2,3,Jumeirah Village Circle (JVC),804.8931101094655
Apartment,2100000,686,1,2,Dubai Marina,3061.2244897959185
Apartment,4600000,2305,3,5,Dubai Creek Harbour,1995.6616052060738
Apartment,990000,912,2,2,Town Square,1085.5263157894738
Apartment,1725000,806,1,2,Dubai Marina,2140.198511166253
Apartment,4000000,2157,3,4,Palm Jumeirah,1854.4274455261939
Apartment,1300000,517,0,1,Palm Jumeirah,2514.5067698259186
House,4750000,2637,3,4,The Springs,1801.28934395146
House,13000000,6369,5,6,Jumeirah Park,2041.136756162663
Apartment,3300000,1615,3,4,Dubai Creek Harbour,2043.343653250774
Apartment,1200000,971,1,2,Jumeirah Lake Towers (JLT),1235.8393408856848
House,4100000,2246,3,3,The Springs,1825.46749777382
Apartment,1400000,785,1,2,Jumeirah Lake Towers (JLT),1783.43949044586
Apartment,1995000,1036,1,2,Dubai Marina,1925.6756756756756
Apartment,1900000,687,1,1,Dubai Marina,2765.6477438136826
House,3150000,2692,2,4,Jumeirah Village Triangle (JVT),1170.1337295690937
Residence,3300000,2398,3,4,Mudon,1376.1467889908256
House,7000000,6000,5,7,Al Furjan,1166.6666666666667
Apartment,3799995,2449,3,4,Palm Jumeirah,1551.651694569212
Apartment,2800000,1318,2,2,Dubai Hills Estate,2124.43095599393
Apartment,1500000,727,1,1,Dubai Hills Estate,2063.273727647868
Apartment,5000000,4751,4,6,Business Bay,1052.4100189433802
Apartment,2650000,1446,2,3,Dubai Marina,1832.6417704011064
Apartment,700000,659,1,2,Jumeirah Village Circle (JVC),1062.215477996965
Apartment,1700000,1259,2,2,Dubai Marina,1350.2779984114377
Apartment,3300000,1062,2,2,Dubai Creek Harbour,3107.3446327683614
Apartment,1950000,1089,1,2,Downtown Dubai,1790.633608815427
Apartment,2300000,1400,2,3,Dubai Marina,1642.857142857143
Apartment,1699999,923,1,2,Bur Dubai,1841.819068255688
Apartment,700000,331,0,1,Business Bay,2114.8036253776436
Apartment,1550000,905,2,2,Business Bay,1712.707182320442
House,75000000,14103,6,8,Palm Jumeirah,5318.017443097214
House,18900000,9691,5,5,Jumeirah Golf Estates,1950.2631307398617
House,6900000,3523,4,4,Dubai Hills Estate,1958.5580471189328
Apartment,2500000,1287,3,3,Dubai Marina,1942.5019425019425
Apartment,2550000,1882,3,4,Jumeirah Beach Residence (JBR),1354.941551540914
Apartment,4900000,1850,3,3,Downtown Dubai,2648.6486486486488
House,2900000,2834,4,5,Reem,1023.288637967537
Residence,7499999,4033,3,6,Dubai Marina,1859.6575750061988
House,4500000,2471,4,3,Dubai Hills Estate,1821.125050586807
Apartment,925000,1021,2,2,Jumeirah Village Circle (JVC),905.9745347698334
House,17995000,10304,5,7,Jumeirah Golf Estates,1746.4091614906831
House,17800000,7500,4,4,Jumeirah Golf Estates,2373.3333333333335
Apartment,880000,946,1,2,Mirdif,930.2325581395348
Apartment,7000000,2145,3,4,Dubai Marina,3263.4032634032633
Apartment,1049888,761,1,2,Al Jaddaf,1379.61629434954
Apartment,7200000,2012,3,5,Downtown Dubai,3578.528827037773
Apartment,5100000,2612,4,5,Dubai Marina,1952.5267993874427
House,4800000,2904,3,4,The Springs,1652.892561983471
Apartment,729000,988,1,1,Jumeirah Village Circle (JVC),737.8542510121457
Apartment,2275000,1120,2,2,Downtown Dubai,2031.25
Apartment,5899990,1717,2,3,Downtown Dubai,3436.2201514269073
Apartment,530000,512,0,1,Arjan,1035.15625
Apartment,4550000,2900,4,5,Dubai Marina,1568.9655172413793
House,4300000,2471,4,4,Dubai Hills Estate,1740.1861594496156
Apartment,1900000,1392,2,2,Dubai Marina,1364.942528735632
Apartment,1800000,772,1,1,Downtown Dubai,2331.60621761658
Apartment,5000000,4774,4,6,Dubai Marina,1047.3397570171765
Apartment,950000,698,1,2,Al Jaddaf,1361.0315186246419
Apartment,4500000,1381,2,2,Dubai Harbour,3258.5083272990587
House,3650000,2071,3,3,Dubai Hills Estate,1762.4336069531628
House,2800000,1794,2,3,The Springs,1560.7580824972129
Apartment,1350000,1249,1,2,Dubai Marina,1080.8646917534027
Apartment,1300000,1611,2,2,Town Square,806.9522036002483
Apartment,1800000,1779,2,2,Dubai Marina,1011.8043844856661
Apartment,750000,1012,2,2,Dubai Sports City,741.1067193675889
Apartment,2749999,1161,2,3,Za'abeel,2368.646856158484
Apartment,2300000,1389,2,2,Jumeirah Beach Residence (JBR),1655.867530597552
Apartment,1200000,429,0,1,Business Bay,2797.2027972027972
Apartment,3500000,1642,3,2,Dubai Creek Harbour,2131.5468940316687
Apartment,850000,764,1,2,Jumeirah Village Circle (JVC),1112.565445026178
Apartment,4100000,1666,2,4,Al Wasl,2460.984393757503
Apartment,1760000,810,1,2,Dubai Marina,2172.8395061728397
House,2450000,1690,2,3,The Springs,1449.7041420118344
Apartment,550000,512,0,1,Arjan,1074.21875
Apartment,1950000,1317,2,3,Jumeirah Beach Residence (JBR),1480.637813211845
Apartment,1100000,1050,1,2,Arjan,1047.6190476190477
Apartment,1790000,914,1,1,Downtown Dubai,1958.4245076586433
House,3000000,2740,4,4,Al Furjan,1094.890510948905
Apartment,640000,479,0,1,Arjan,1336.116910229645
Residence,2100000,3261,4,5,Jumeirah Village Circle (JVC),643.9742410303588
Apartment,1400000,1353,1,2,Jumeirah Lake Towers (JLT),1034.7376201034738
House,5800000,3200,3,3,Dubai Hills Estate,1812.5
House,3250000,2692,2,4,Jumeirah Village Triangle (JVT),1207.2808320950967
Apartment,1950000,1258,2,3,Dubai Marina,1550.0794912559618
Apartment,1350000,852,1,2,Business Bay,1584.5070422535211
Apartment,2300000,1148,2,2,Dubai Creek Harbour,2003.4843205574914
Apartment,2500000,2450,4,4,Dubai Marina,1020.4081632653061
Apartment,1050000,1052,2,2,Arjan,998.0988593155894
House,11499000,10637,4,5,Jumeirah Islands,1081.037886622168
